,word,actual_frequency,relative_frequency,zipf_frequency,difference_actual,difference_percent
178,point,1,1/179,0.39664804469273746,0.6033519553072626,252.112676056338
179,phrase,1,1/180,0.3944444444444445,0.6055555555555555,253.52112676056336
180,contest,1,1/181,0.39226519337016574,0.6077348066298343,254.92957746478874
181,absorbs,1,1/182,0.39010989010989017,0.6098901098901098,256.3380281690141
182,attention,1,1/183,0.3879781420765027,0.6120218579234973,257.7464788732394
183,engrosses,1,1/184,0.3858695652173913,0.6141304347826086,259.1549295774648
184,energies,1,1/185,0.3837837837837838,0.6162162162162161,260.5633802816901
185,presented,1,1/186,0.38172043010752693,0.618279569892473,261.97183098591546
186,progress,1,1/187,0.3796791443850267,0.6203208556149733,263.38028169014086
187,arms,1,1/188,0.3776595744680851,0.6223404255319149,264.7887323943662
188,else,1,1/189,0.37566137566137564,0.6243386243386244,266.19718309859155
189,chiefly,1,1/190,0.3736842105263158,0.6263157894736842,267.6056338028169
190,depends,1,1/191,0.3717277486910995,0.6282722513089005,269.01408450704224
191,known,1,1/192,0.36979166666666663,0.6302083333333334,270.42253521126764
192,myself,1,1/193,0.3678756476683938,0.6321243523316062,271.83098591549293
193,trust,1,1/194,0.36597938144329895,0.634020618556701,273.23943661971833
194,reasonably,1,1/195,0.3641025641025641,0.6358974358974359,274.6478873239437
195,satisfactory,1,1/196,0.36224489795918363,0.6377551020408163,276.056338028169
196,encouraging,1,1/197,0.36040609137055835,0.6395939086294417,277.46478873239437
197,high,1,1/198,0.3585858585858586,0.6414141414141414,278.8732394366197
198,future,1,1/199,0.35678391959798994,0.6432160804020101,280.2816901408451
199,prediction,1,1/200,0.355,0.645,281.69014084507046
200,regard,1,1/201,0.35323383084577115,0.6467661691542288,283.09859154929575
201,ventured,1,1/202,0.35148514851485146,0.6485148514851485,284.50704225352115
202,corresponding,1,1/203,0.3497536945812808,0.6502463054187192,285.91549295774644
203,thought,1,1/204,0.3480392156862745,0.6519607843137255,287.32394366197184
204,anxiously,1,1/205,0.3463414634146341,0.6536585365853659,288.7323943661972
205,directed,1,1/206,0.34466019417475724,0.6553398058252428,290.1408450704226
206,impending,1,1/207,0.3429951690821256,0.6570048309178744,291.5492957746479
207,dreaded,1,1/208,0.34134615384615385,0.6586538461538461,292.9577464788733
208,sought,1,1/209,0.3397129186602871,0.6602870813397129,294.3661971830986
209,avert,1,1/210,0.3380952380952381,0.6619047619047619,295.7746478873239
210,inaugeral,1,1/211,0.3364928909952607,0.6635071090047393,297.18309859154925
211,delivered,1,1/212,0.33490566037735847,0.6650943396226415,298.59154929577466
212,devoted,1,1/213,0.3333333333333333,0.6666666666666667,300.0
213,saving,1,1/214,0.3317757009345794,0.6682242990654206,301.40845070422534
214,insurgent,1,1/215,0.3302325581395349,0.6697674418604651,302.8169014084507
215,agents,1,1/216,0.32870370370370366,0.6712962962962963,304.2253521126761
216,city,1,1/217,0.3271889400921659,0.6728110599078341,305.6338028169014
217,destroy,1,1/218,0.32568807339449546,0.6743119266055045,307.0422535211267
218,dissole,1,1/219,0.3242009132420091,0.6757990867579908,308.4507042253521
219,divide,1,1/220,0.3227272727272727,0.6772727272727272,309.85915492957747
220,effects,1,1/221,0.3212669683257919,0.6787330316742082,311.2676056338028
221,negotiation,1,1/222,0.31981981981981983,0.6801801801801801,312.67605633802816
222,parties,1,1/223,0.3183856502242152,0.6816143497757847,314.08450704225356
223,deprecated,1,1/224,0.3169642857142857,0.6830357142857143,315.4929577464789
224,them,1,1/225,0.31555555555555553,0.6844444444444444,316.90140845070425
225,make,1,1/226,0.3141592920353982,0.6858407079646018,318.3098591549296
226,survive,1,1/227,0.3127753303964758,0.6872246696035242,319.7183098591549
227,accept,1,1/228,0.3114035087719298,0.6885964912280702,321.1267605633803
228,eighth,1,1/229,0.31004366812227074,0.6899563318777293,322.53521126760563
229,whole,1,1/230,0.30869565217391304,0.691304347826087,323.943661971831
230,population,1,1/231,0.30735930735930733,0.6926406926406927,325.3521126760563
231,colored,1,1/232,0.30603448275862066,0.6939655172413793,326.7605633802817
232,distributed,1,1/233,0.30472103004291845,0.6952789699570816,328.16901408450707
233,generally,1,1/234,0.30341880341880345,0.6965811965811965,329.57746478873236
234,over,1,1/235,0.3021276595744681,0.6978723404255319,330.98591549295776
235,localized,1,1/236,0.3008474576271186,0.6991525423728814,332.39436619718316
236,southern,1,1/237,0.2995780590717299,0.7004219409282701,333.8028169014085
237,part,1,1/238,0.29831932773109243,0.7016806722689075,335.2112676056338
238,o,1,1/239,0.29707112970711297,0.7029288702928871,336.61971830985914
239,fit,1,1/240,0.29583333333333334,0.7041666666666666,338.0281690140845
240,constituted,1,1/241,0.2946058091286307,0.7053941908713692,339.4366197183098
241,peculiar,1,1/242,0.29338842975206614,0.7066115702479339,340.8450704225352
242,powerful,1,1/243,0.29218106995884774,0.7078189300411523,342.2535211267606
243,knew,1,1/244,0.29098360655737704,0.709016393442623,343.6619718309859
244,somehow,1,1/245,0.28979591836734697,0.710204081632653,345.0704225352112
245,strengthen,1,1/246,0.2886178861788618,0.7113821138211383,346.4788732394366
246,perpetuate,1,1/247,0.2874493927125506,0.7125506072874495,347.887323943662
247,extend,1,1/248,0.28629032258064513,0.7137096774193549,349.29577464788736
248,object,1,1/249,0.285140562248996,0.714859437751004,350.7042253521127
249,insurgents,1,1/250,0.28400000000000003,0.716,352.112676056338
250,rend,1,1/251,0.2828685258964143,0.7171314741035857,353.5211267605634
251,claimed,1,1/252,0.28174603174603174,0.7182539682539683,354.92957746478874
252,more,1,1/253,0.28063241106719367,0.7193675889328064,356.3380281690141
253,restrict,1,1/254,0.2795275590551181,0.7204724409448819,357.7464788732394
254,territorial,1,1/255,0.2784313725490196,0.7215686274509804,359.15492957746477
255,enlargement,1,1/256,0.27734375,0.72265625,360.5633802816902
256,party,1,1/257,0.27626459143968873,0.7237354085603113,361.97183098591546
257,expected,1,1/258,0.2751937984496124,0.7248062015503876,363.38028169014086
258,magnitude,1,1/259,0.27413127413127414,0.7258687258687259,364.7887323943662
259,duration,1,1/260,0.2730769230769231,0.7269230769230769,366.1971830985915
260,already,1,1/261,0.27203065134099613,0.7279693486590039,367.60563380281695
261,attained,1,1/262,0.27099236641221375,0.7290076335877862,369.01408450704224
